titre,titre_original,date,duree,descriptions,genre,langue_origine,pays,public,score,acteurs,nbSaisons,nbEpisodes
Les temps modernes,Modern Times,13 mars 1936,87,Charlot peine à vivre dans la société industrielle moderne avec l'aide d'une jeune femme sans abri.,"Comédie,Drame,Romantique",Anglais,États-Unis,Tous publics,8.5,"Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Chester Conklin,Hank Mann,Stanley Blystone,Al Ernest Garcia,Richard Alexander,Cecil Reynolds,Mira McKinney,Murdock MacQuarrie,Wilfred Lucas,Edward LeSaint,Fred Malatesta,Sammy Stein,Juana Sutton,Ted Oliver",,
Intouchables,Intouchables,2 novembre 2011,112,"Après être devenu tétraplégique à la suite d'un accident de parapente, un aristocrate engage un jeune homme des cités en tant qu'aide-soignant.","Biographique,Comédie,Drame","Français,Anglais",France,Tous publics,8.5,"François Cluzet,Omar Sy,Anne Le Ny,Audrey Fleurot,Joséphine de Meaux,Clotilde Mollet,Alba Gaïa Bellugi,Cyril Mendy,Salimata Kamate,Absa Diatou Toure,Grégoire Oestermann,Dominique Daguier,François Caron,Christian Ameri,Thomas Solivérès,Dorothée Brière,Marie-Laure Descoureaux,Émilie Caen",,
Harakiri,Seppuku,24 juillet 1963,133,"Tsugumo, un miséreux rōnin, se rend dans le palais du seigneur de la région pour se faire seppuku. Il souhaite, avant son suicide, raconter son histoire et ses liens avec la précédente personne ayant fait harakiri dans ce lieu.","Action,Drame,Mystère",Japonais,Japon,Tous publics,8.6,"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,Masao Mishima,Ichirô Nakatani,Kei Satô,Yoshio Inaba,Hisashi Igawa,Tôru Takeuchi,Yoshirô Aoki,Tatsuo Matsumura,Akiji Kobayashi,Kôichi Hayashi,Ryûtarô Gomi,Jô Azumi,Nakajirô Tomita,Shichisaburô Amatsu",,
Casablanca,Casablanca,23 mai 1947,102,Un propriétaire de boîte de nuit et cynique doit protéger une ancienne flamme et son mari des nazis au Maroc.,"Drame,Romantique,Guerre","Anglais,Français,Allemand,Italien",États-Unis,Tous publics,8.5,"Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,S.Z. Sakall,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois,Abdullah Abbas,Enrique Acosta,Ed Agresti,Arnet Amos",,
Whiplash,Whiplash,24 décembre 2014,106,Un jeune batteur prometteur s'inscrit dans un conservatoire de musique renommé où ses rêves de grandeur sont encadrés par un professeur qui ne recule devant rien pour réaliser le potentiel de ses étudiants.,"Drame,Musical",Anglais,États-Unis,Tous publics,8.5,"Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,Austin Stowell,Nate Lang,Chris Mulkey,Damon Gupton,Suanne Spoke,Max Kasch,Charlie Ian,Jayson Blair,Kofi Siriboe,Kavita Patil,C.J. Vana,Tarik Lowe,Tyler Kimball,Rogelio Douglas Jr.",,
Le tombeau des lucioles,Hotaru no haka,19 juin 1996,89,Un jeune garçon et sa petite soeur luttent pour survivre au Japon pendant la Seconde Guerre mondiale.,"Animation,Drame,Guerre",Japonais,Japon,Tous publics,8.5,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,Kôzô Hashida,Masayo Sakai,Kazumi Nozaki,Yoshio Matsuoka,Masahiro Kanetake,Kiyoshi Yanagawa,Hajime Maki,Atsuo Omote,Teruhisa Harita,Hiroshi Tanaka,Michio Denpô,Shirô Tamaki,Tadashi Nakamura,Mika Sekita",,
X-Men,X-Men,31 octobre 1992,23,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,"Animation,Action,Aventure",Anglais,"États-Unis,Canada",TV-Y7,8.5,"Cedric Smith,Cal Dodd,Lenore Zann,George Buza,Alyson Court,Catherine Disher,Norm Spencer,Chris Potter,Alison Sealy-Smith,David Hemblen,Lawrence Bayne,Marc Strange,Don Francks,Ron Rubin,Philip Akin,Stephen Ouimette,John Colicos,Kay Tremblay",5,76
Gintama,Gintama,8 avril 2015,25,"Dans un monde où les extraterrestres ont envahi et pris le contrôle de Tokyo, un samouraï au chômage trouve du travail comme il le peut.","Animation,Action,Comédie",Japonais,Japon,Tous publics,8.7,"Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai,Chiba Susumu,Kenichi Suzumura,Satsuki Yukino,Akira Ishida,Tetsuharu Ôta,Fumihiko Tachiki,Kujira,Yû Kobayashi,Mikako Takahashi,Fumiko Orikasa,Kôichi Sakaguchi,Yû Sugimoto,Michael Daingerfield,Jocelyne Loewen",8,375
John Adams,John Adams,15 novembre 2008,71,"La carrière politique et la vie familiale du second président des Etats-Unis d'Amérique, combattant de l'Indépendance.","Biographique,Drame,Historique",Anglais,États-Unis,TV-14,8.5,"Paul Giamatti,Laura Linney,John Dossett,Stephen Dillane,Sarah Polley,Samuel Barnett,David Morse,Andrew Scott,Danny Huston,Ebon Moss-Bachrach,Steven Hinkle,Madeline Taylor,Mamie Gummer,Kevin Trainor,Tom Wilkinson,Michael Hall D'Addario,Rufus Sewell,Justin Theroux",1,7
The Defiant Ones,The Defiant Ones,23 mars 2018,60,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Documentaire,Biographique,Policier",Anglais,États-Unis,16,8.5,"Stevie Nicks,Bono,Tom Petty,Dr. Dre,Jimmy Iovine,Janet Mormile,Ice Cube,Trent Reznor,Snoop Dogg,Gwen Stefani,Bruce Springsteen,Sean 'Diddy' Combs,Nas,The D.O.C.,DJ Yella,Vicki Iovine,Doug Morris,Verna Griffin",1,4
Black Books,Black Books,1 juillet 2002,25,Bernard Black est un libraire irlandais établi à Londres qui cumule tous les défauts. Son amour pour la boisson bas de gamme et bon marché n'a d'égal que celui qu'il a pour la cigarette.,Comédie,Anglais,Royaume-Uni,TV-PG,8.5,"Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,Daisy Campbell,Ben Homewood,Nick Frost,Tony Way,Omid Djalili,Mark Aiken,John Arthur,Terry Bird,Tony Bluto,Jessica Hynes,Nina Conti,Rose Keegan,Mick Walter,Howard Coggins",3,18
Avrupa Yakasi,Avrupa Yakasi,11 février 2004,60,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,Comédie,Turc,Turquie,Non Renseigné,8.6,"Gülse Birsel,Levent Üzümcü,Senay Gürler,Hale Caneroglu,Veysel Diker,Yildirim Öcek,Yavuz Seçkin,Gazanfer Özcan,Hümeyra,Vural Çelik,Engin Günaydin,Rutkay Aziz,Suna Keskin,Ata Demirer,Hasibe Eren,Sarp Apak,Evrim Akin,Bülent Polat",6,190
Southland,Southland,10 janvier 2010,42,La vie des policiers de la Police de Los Angeles.,"Policier,Drame,Thriller","Anglais,Espagnol",États-Unis,TV-MA,8.5,"Michael Cudlitz,Shawn Hatosy,Regina King,Ben McKenzie,C. Thomas Howell,Arija Bareikis,Jamie McShane,Michael McGrady,Dorian Missick,Kevin Alejandro,Tom Everett Scott,Emily Bergl,Roxana Brusso,Mario Cortez,Lucy Liu,Jenny Gago,Lex Medlin,Patrick Fischler",5,43
The Great British Bake Off,The Great British Bake Off,17 août 2010,60,"Les participants doivent relever chaque semaine trois défis tout en essayant d'impressionner suffisamment les juges pour pouvoir passer à l'étape suivante, et sont finalement couronnés meilleur pâtissier amateur de Grande-Bretagne.",Télé-réalité,Anglais,Royaume-Uni,TV-PG,8.6,"Paul Hollywood,Mary Berry,Prue Leith,Noel Fielding,Sue Perkins,Mel Giedroyc,Sandi Toksvig,Matt Lucas,James Morton,John Whaite,Brendan Lynch,Beca Lyne-Pirkis,Tamal Ray,Candice Brown,Andrew Smyth,Jane Beedle,Rahul Mandal,Ruby Bhogal",13,165
Derry Girls,Derry Girls,21 décembre 2018,30,"Les exploits personnels d'une jeune fille de seize ans, de sa famille et de ses amis pendant les troubles du début des années quatre-vingt-dix.",Comédie,Anglais,Royaume-Uni,7,8.5,"Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill,Kathy Kiera Clarke,Tommy Tiernan,Ian McElhinney,Nicola Coughlan,Jamie-Lee O'Donnell,Dylan Llewellyn,Siobhán McSweeney,Leah O'Rourke,Beccy Henderson,Amelia Crowley,Claire Rafferty,Philippa Dunne,Donna Traynor,Kevin McAleer,Paul Mallon",3,19
Big Little Lies,Big Little Lies,20 février 2017,60,Trois mères de famille en apparence parfaites en viennent au meurtre.,"Policier,Drame,Mystère",Anglais,États-Unis,12,8.5,"Reese Witherspoon,Nicole Kidman,Shailene Woodley,Zoë Kravitz,Adam Scott,Laura Dern,James Tupper,Alexander Skarsgård,Jeffrey Nordling,Iain Armitage,Darby Camp,Kathryn Newton,Cameron Crovetti,Nicholas Crovetti,Chloe Coleman,Ivy George,Larry Sullivan,Merrin Dungey",2,14
The Knick,The Knick,9 août 2014,58,Un regard sur les vies professionnelles et privées du personnel de l'hôpital newyorkais de Knickerbocker au début du vingtième siècle.,"Drame,Historique","Anglais,Letton,Mandarin,Cantonais,Hébreu,Grec,Italien,Polonais,Espagnol",États-Unis,16,8.5,"André Holland,Clive Owen,Jeremy Bobb,Juliet Rylance,Eve Hewson,Michael Angarano,Cara Seymour,Eric Johnson,Chris Sullivan,Grainger Hines,Zuzanna Szadkowski,Maya Kazan,Ylfa Edelstein,Lucas Papaelias,Leon Addison Brown,Charles Aitken,Tom Lipinski,Jennifer Ferrin",2,21
Your Lie in April,Shigatsu wa kimi no uso,1 avril 2018,23,Un prodige du piano ayant perdu sa capacité de jouer après avoir subi un événement traumatisant pendant l'enfance est forcé à revenir sur le devant de la scène par une fille excentrique qui cache un secret.,"Animation,Comédie,Drame",Japonais,Japon,Tous publics,8.6,"Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,Erika Harlacher,Amanda Céline Miller,Erik Scott Kimerer,Julie Ann Taylor,Adin Rudd,Abelina Sabrina Rios,Jennifer Alyx,Ryan Raydarke,Christina McBride,Megan Crockett,Erica Lindbeck,Max Mittelman,Erica Mendez,Kyle McCarley",1,23
Wentworth,Wentworth,1 mai 2013,45,Bea Smith est emprisonnée dans l'attente d'un procès pour avoir tenté de tuer son mari et doit apprendre le fonctionnement de la vie en prison.,"Policier,Drame,Thriller",Anglais,Australie,13,8.6,"Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacquie Brennan,Celia Ireland,Pamela Rabe,Kate Jenkinson,Lucia Brancatisano,Lauri McLennan,Bernard Curry,Nicole da Silva,Shareena Clanton,Eloise Wright,Danielle Cormack,Tammy Macintosh,Rarriwuy Hick,Katherine Grinlaw,Susie Porter",9,100
L'amie prodigieuse,L'amica geniale,13 décembre 2018,60,Une femme raconte ses amitiés et ses conflits avec une fillette qu'elle a rencontrée à l'école primaire à Naples au début des années 50.,Drame,"Italien,Napolitain","Italie,États-Unis",10,8.6,"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Luca Gallone,Francesco Serpico,Giovanni Amura,Giovanni Buselli,Eduardo Scarpetta,Elvis Esposito,Valentina Acca,Antonio Buonanno,Rosaria Langellotto,Gennaro De Stefano,Fabrizio Cottone,Pina Di Gennaro,Riccardo Palmieri",4,25
Alfred Hitchcock présente,Alfred Hitchcock Presents,12 juillet 1959,25,"Des histoires courtes sans rapport englobant du crime, de l'horreur, du drame, de la comédie sur des personnes issues de contextes variés et commettant des meurtres, des suicides, des vols et d'autres sortes de crimes pour divers motifs.","Comédie,Policier,Drame",Anglais,États-Unis,Tous Public,8.5,"Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock,Arthur Gould-Porter,Raymond Bailey,Lillian O'Malley,Russell Collins,Robert Carson,Barry Harvey,Robert H. Harris,Ray Teal,Bartlett Robinson,David Fresco,Robert Horton,Percy Helton,Ralph Clanton,Charles Davis",7,268
The Angry Video Game Nerd,The Angry Video Game Nerd,25 mai 2004,35,A foul-mouthed nerd reviews bad video games.,Comédie,"Anglais,Espagnol",États-Unis,16,8.5,"James Rolfe,Mike Matei,Kyle Justin,Kieran Fallon,Antonio Piluso,Kevin Finn,Liam Mulvey,Craig Skistimas,Justin Silverman,Marsh,Xander Arnot,Micheal Mulvey,Pat Contri,Lloyd Kaufman,Nathan Barnatt,Macaulay Culkin,Gilbert Gottfried,Grant Duffrin",16,245
Génération Kill,Generation Kill,18 novembre 2008,70,"Un journaliste du magazine Rolling Stone, intégré au 1er bataillon de reconnaissance des Marines, relate ses expériences lors de la première vague de l'assaut mené par les Américains sur Bagdad en 2003.","Drame,Guerre",Anglais,"États-Unis,Royaume-Uni",10,8.5,"Alexander Skarsgård,James Ransone,Lee Tergesen,Jon Huertas,Stark Sands,Billy Lush,Jonah Lotan,Wilson Bethel,Pawel Szajda,Marc Menchaca,Rey Valentin,Kellan Lutz,Mike Figueroa,Rudy Reyes,Rich McDonald,Eric Ladin,Chance Kelly,Eric Nenninger",1,7
The Night Of,The Night Of,11 juillet 2016,525,"Naz se réveille un matin aux côtés d'une femme décédée. Inculpé, il est défendu par un avocat bon marché mais tenace","Policier,Drame,Mystère",Anglais,États-Unis,18,8.5,"Riz Ahmed,John Turturro,Bill Camp,Amara Karan,Payman Maadi,Jeannie Berlin,Poorna Jagannathan,Michael Kenneth Williams,Paul Sparks,Syam M. Lafi,Sofia Black-D'Elia,Afton Williamson,Paulo Costanzo,Nabil Elouahabi,Mustafa Shakir,Joshua Bitton,Lord Jamar,Esau Pritchett",1,8
The Expanse,The Expanse,3 novembre 2016,60,L'état fragile de guerre froide du système solaire est menacé alors qu'une vaste conspiration est lentement découverte.,"Drame,Mystère,Science-fiction",Anglais,États-Unis,13,8.5,"Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo,Cas Anvar,Frankie Adams,Cara Gee,Shawn Doyle,Thomas Jane,Florence Faivre,Nadine Nicole,Chad L. Coleman,Anna Hopkins,Keon Alexander,Jasai Chase Owens,Andrew Rotilio,Nick E. Tarabay,David Strathairn",6,62
Mr Inbetween,Mr Inbetween,11 août 2021,30,"Ray Shoesmith est un père de famille, ex-mari, petit ami, frère et meilleur ami, des rôles difficiles à concilier à notre époque. Encore plus difficile lorsque l'on est criminel aussi.","Policier,Drame",Anglais,Australie,TV-MA,8.6,"Scott Ryan,Chika Yasumura,Justin Rosniak,Damon Herriman,Brooke Satchwell,Nicholas Cassim,Natalie Tran,Matt Nable,Lizzie Schebesta,Jed,Jeremy Sims,Kenny Graham,Eddie Baroo,Josh McConville,Kieran Darcy-Smith,David Michôd,Scott Harrison,Rose Riley",3,26
Chef's Table,Chef's Table,26 avril 2015,50,"Découvrez les vies et les cuisines de six des chefs internationaux les plus renommés. Chaque épisode se concentre sur un chef et leur regard unique sur leur vie, leurs talents et leur passion depuis leur coin de paradis culinaire.",Documentaire,Anglais,États-Unis,TV-MA,8.5,"Massimo Bottura,Ruth Reichl,Francis Mallmann,Magnus Nilsson,Dan Barber,Niki Nakayama,Bill Buford,Ben Shewry,Lara Gilmore,David Chang,Dominique Crenn,Grant Achatz,Daniel Humm,Ana Ros,Gaggan Anand,Alex Atala,Enrique Olvera,Colman Andrews",6,30
Regular Show,Regular Show,23 juin 2011,23,Les aventures quotidiennes surréalistes d'un oiseau et d'un raton laveur qui tentent de faire face à leurs emplois en tant que gardiens de parc.,"Animation,Action,Aventure",Anglais,États-Unis,Tous publics,8.5,"J.G. Quintel,William Salyers,Sam Marin,Mark Hamill,Roger Craig Smith,Minty Lewis,Janie Haddad Tompkins,Courtenay Taylor,Steve Blum,Fred Tatasciore,John Cygan,Ali Hillis,Linda Cardellini,Jeff Bennett,David Kaye,Robin Atkin Downes,David Ogden Stiers,Troy Baker",8,245
Community,Community,13 décembre 2012,22,Un avocat suspendu est obligé de s'inscrire dans un centre universitaire communautaire avec son personnel et corps étudiant éclectiques.,Comédie,Anglais,États-Unis,Tous publics,8.5,"Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David",6,110
House of the Dragon,House of the Dragon,22 août 2022,0,L'histoire de la maison Targaryen se déroule deux-cents ans avant les événements de Game of Thrones.,"Action,Aventure,Drame",Anglais,États-Unis,12,8.5,"Rhys Ifans,Matt Smith,Fabien Frankel,Graham McTavish,Paddy Considine,Bill Paterson,Eve Best,Steve Toussaint,Jefferson Hall,Emma D'Arcy,Gavin Spokes,Sonoya Mizuno,Matthew Needham,Olivia Cooke,Milly Alcock,Emily Carey,David Horovitch,Kurt Egyiawan",1,11
Schitt's Creek,Schitt's Creek,26 juin 2021,22,"Lorsque le riche magnat de la vidéothèque Johnny Rose et sa famille se retrouvent soudainement en faillite, ils sont obligés de quitter leur vie choyée pour se regrouper à Schitt's Creek.",Comédie,Anglais,"Canada,États-Unis",Tous publics,8.5,"Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji",6,80
Umbre,Umbre,28 décembre 2014,45,"Relu est un père de famille dont personne ne suspecte l'activité criminelle pour un gangster local. Il parvient à dissimuler sa double vie pendant un temps, jusqu'au jour où il tue accidentellement quelqu'un.","Policier,Drame,Thriller","Roumain,Espagnol,Anglais,Ukrainien",Roumanie,TV-MA,8.8,"Serban Pavlu,Maria Obretin,Andreea Vasile,Madalina Craiu,Gabriel Huian,Sergiu Costache,Doru Ana,Dan Hurduc,Stefan Velniciuc,Laurentiu Bãnescu,Sorin Cocis,Mihai Calin,Vitalie Bantas,Dorel Visan,Costel Cascaval,Augustin Viziru,Silvana Mihai,Ion Grosu",3,21
Hannibal,Hannibal,25 septembre 2013,44,Explore la relation précoce entre un psychiatre réputé et un jeune profileur criminel du FBI hanté par sa capacité d'empathie envers les tueurs en série.,"Policier,Drame,Horreur",Anglais,États-Unis,12,8.5,"Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,Scott Thompson,Aaron Abrams,Gillian Anderson,Hettienne Park,Kacey Rohl,Lara Jean Chorostecki,Raúl Esparza,Vladimir Jon Cubrt,Katharine Isabelle,Kalen Davidson,Eddie Izzard,Richard Armitage,Gina Torres,Rutina Wesley",3,39
Cobra Kai,Cobra Kai,2 mai 2018,30,"Des décennies après leur combat de 1984 au Tournoi de Karaté de All Valley, Daniel LaRusso, un homme d'une quarantaine d'année et Johnny Lawrence se retrouvent à nouveau rivaux des arts martiaux.","Action,Comédie,Drame","Anglais,Hindi",États-Unis,16,8.5,"Ralph Macchio,William Zabka,Courtney Henggeler,Xolo Maridueña,Tanner Buchanan,Mary Mouser,Jacob Bertrand,Gianni DeCenzo,Martin Kove,Vanessa Rubio,Peyton List,Owen Morgan,Aedin Mincks,Jayden Rivers,Joe Seo,Griffin Santopietro,Khalil Everage,Hannah Kepple",5,50
Jujutsu Kaisen,Jujutsu Kaisen,2 octobre 2020,24,Un garçon avale un talisman maudit (le doigt d'un démon) et devient lui-même maudit. Il entre dans une école de chaman pour pouvoir localiser les autres parties du corps du démon et ainsi s'exorciser.,"Animation,Action,Aventure",Japonais,Japon,16,8.6,"Junya Enoki,Adam McArthur,Yûichi Nakamura,Yuma Uchida,Asami Seto,Robbie Daymond,Mitsuo Iwata,Chris Tergliafera,Nobunaga Shimazaki,Allegra Clark,Tomokazu Seki,Mikako Komatsu,Koki Uchiyama,Lex Lang,Jun'ichi Suwabe,Tara Sands,Kenjirô Tsuda,Shigeru Chiba",2,25
Futurama,Futurama,11 mars 2000,22,"Fry, un livreur de pizza se retrouve accidentellement congelé en 1999 et décongelé pour le réveillon du Nouvel An 2999.","Animation,Aventure,Comédie",Anglais,États-Unis,Tous publics,8.5,"Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,Phil LaMarr,Lauren Tom,Maurice LaMarche,David Herman,Frank Welker,Kath Soucie,Dawnn Lewis,Tom Kenny,Dan Castellaneta,George Takei,Nicole St. John,Phil Hendrie,Al Gore,Pamela Anderson",11,150
Spartacus: les dieux de l'arène,Gods of the Arena,21 janvier 2011,331,"Bien avant l'arrivée de Spartacus, la Maison de Batiatus affronte de nombreux défis face à ses concurrents, et au sein de sa propre maison.","Action,Aventure,Biographique","Anglais,Soureth",États-Unis,16,8.5,"John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray",1,6
Silicon Valley,Silicon Valley,7 avril 2014,28,"Suit la lutte de Richard Hendricks, un ingénieur de la Silicon Valley qui tente de créer sa propre société appelée Pied Piper.",Comédie,Anglais,États-Unis,Tous publics,8.5,"Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,Kumail Nanjiani,Amanda Crew,Zach Woods,Matt Ross,Jimmy O. Yang,Suzanne Cryer,Chris Diamantopoulos,Chris Williams,Stephen Tobolowsky,Rogelio T. Ramos,Scott Prendergast,Aly Mawji,Jill E. Alexander,Bernard White",6,53
