titre,duree
Line of Duty,60
Mahabharat,45
Terminator,107
Justice League Unlimited,23
The Thick of It,29
Spotlight,129
Le Mans '66,152
Rocky,120
Hôtel Rwanda,121
Platoon,120
Voyage à Tokyo,136
La passion de Jeanne d'Arc,110
Le Cercle des poètes disparus,128
The Big Lebowski,117
Les Dents de la mer,124
Dragons,98
Monstres & Cie,92
Mary et Max.,92
Le septième sceau,96
Mad Max: Fury Road,120
Les Nouveaux Sauvages,122
Memories of Murder,131
Le salaire de la peur,156
Mr. Smith au sénat,129
Room,118
Sherlock Junior,45
Tu ne tueras point,139
La légende de Klaus,96
Barry Lyndon,185
Au nom du père,133
Le mécano de la Générale,67
The Grand Budapest hotel,99
Gone Girl,149
Le troisième homme,104
Voyage au bout de l'enfer,183
Les fraises sauvages,91
Ben-Hur,212
Before Sunrise,101
La ruée vers l'or,95
Sur les quais...,108
Les enfants du ciel,89
Harry Potter et les Reliques de la Mort : partie 2,130
12 Years a Slave,134
Blade Runner,117
Million Dollar Baby,132
Arrête-moi si tu peux,141
Mon voisin Totoro,86
3 Billboards: Les panneaux de la vengeance,115
Prisoners,153
Gran Torino,116
Fargo,98
Trainspotting,93
Le pont de la rivière Kwaï,161
The Crown,58
Le château ambulant,119
Dans ses yeux,129
Le crime était presque parfait,105
Berserk,23
The Grand Tour,60
Warrior,140
Friday Night Lights,44
Les aventures de Sherlock Holmes,60
House of Cards,51
Peep Show,25
Star Trek: La nouvelle génération,44
Top Gear,60
La fabuleuse Mme Maisel,57
Severance,55
Stranger Things,51
Vinland Saga,24
Mad Men,47
Gullak,24
Panchayat,35
Invincible,50
Sarabhai V/S Sarabhai,30
Downton Abbey,58
One Punch Man,24
The Boys,60
Battlestar Galactica,44
Fleabag,27
Dr House,44
The Shield,47
Kota Factory,45
The Mandalorian,40
Dark,60
Arrested development - Les nouveaux pauvres,22
Les Simpson,22
Steins;Gate,24
La Forêt de l'Étrange,22
Oz,55
Peaky Blinders,60
Six pieds sous terre,60
Rome,52
South Park,22
Moi Claude empereur,669
One Piece,24
Dragon Ball Z,24
Dragon Ball Z,24
Ted Lasso,30
Chappelle's Show,22
BoJack Horseman,25
Succession,60
Narcos,49
Gibi,30
Black Mirror,60
Twin Peaks,47
Blackadder Goes Forth,175
Leyla ile Mecnun,80
Orgueil et préjugés,327
L'hôtel en folie,30
Vice-versa,95
V pour vendetta,132
À la Maison Blanche,44
Autant en emporte le vent,238
Freaks & Geeks,44
Raging Bull,129
"Arnaques, crimes et botanique",107
Chinatown,130
Le Monde de Nemo,100
The Thing,109
Elephant Man,124
No Country for Old Men,122
Rashomon,88
Kill Bill: Volume I,111
La Grande Évasion,172
Le Trésor de la Sierra Madre,126
Jurassic Park,127
Spider-Man: No Way Home,148
Le garde du corps,110
Monty Python : Sacré Graal !,91
Shutter Island,138
Un homme d'exception,135
The Truman Show,103
Sixième sens,107
Impitoyable,130
There Will Be Blood,158
Le labyrinthe de Pan,118
Casino,178
Ran,162
Jugement à Nuremberg,179
Green Book: Sur les routes du sud,130
Ève...,138
Le loup de Wall Street,180
Certains l'aiment chaud,121
Le Kid,68
Batman Begins,140
The Father,97
...et pour quelques dollars de plus,132
Dangal,161
Indiana Jones et la dernière croisade,127
Taare Zameen Par,165
1917,119
La chute,156
Snatch - Tu braques ou tu raques,104
Voleur de bicyclette,89
Piège de cristal,132
L.A. Confidential,138
Metropolis,153
Incendies,131
Taxi Driver,114
Une séparation,123
Heat,170
Là-haut,96
Du silence et des ombres...,129
L'Arnaque,129
Taskmaster,47
Larry et son nombril,28
Le bateau,293
TVF Pitchers,40
Philadelphia,22
Apocalypse: La 2ème guerre mondiale,312
"Monty Python's Flying Circus ; Absurde, n'est-il pas?",30
Afrique sauvage,360
Last Week Tonight with John Oliver,30
Dans leur regard,296
Souvenirs de Gravity Falls,23
Clarkson à la ferme,45
Friends,22
Nathan for You,30
Cowboy Bebop,24
Sahsiyet,65
Fargo,53
Le décalogue,572
The Beatles: Get Back,468
The Civil War,680
True Detective,55
Better Call Saul,46
Seinfeld,22
Hunter x Hunter,24
Terres de glace,333
Death Note,24
Only Fools and Horses,95
Planète des hommes,50
L'attaque des titans,24
Firefly,44
Arcane,41
The Blue Planet,389
SCAM 1992: The Harshad Mehta Story,54
The Office,22
Bluey,7
The Vietnam War,990
Fullmetal Alchemist: Brotherhood,24
Sherlock,88
La quatrième dimension,51
"Life, l'aventure de la vie",473
The Last Dance,491
Rick et Morty,23
The World at War,52
Game of Thrones,57
Notre planète,403
Batman,23
Cosmos: Une odyssée à travers l'univers,557
Cosmos,780
Les Soprano,55
"Avatar, le dernier maître de l'air",23
Blue Planet II,364
Sur écoute,59
Planète Terre,538
Frères d'armes,594
Breaking Bad,49
Chernobyl,330
Scarface,170
Hamilton,160
Full Metal Jacket,116
Assurance sur la mort,107
La garçonnière,125
Vivre,143
Le fabuleux destin d'Amélie Poulain,122
Sueurs froides,128
Orange mécanique,136
La mort aux trousses,136
Lawrence d'Arabie,218
M le maudit,118
Citizen Kane,119
La chasse,115
Requiem pour un massacre - Va et regarde,142
Reservoir Dogs,99
Eternal Sunshine of the Spotless Mind,108
Capharnaüm,126
2001 : L'Odyssée de l'espace,149
Entre le ciel et l'enfer,143
Le Retour du Jedi,131
Chantons sous la pluie,103
Toy Story 3,103
3 Idiots,170
Requiem for a Dream,102
Top Gun: Maverick,130
Your Name.,106
Will Hunting,126
Princesse Mononoké,134
Il était une fois en Amérique,229
Le Bateau,149
Braveheart,178
Avengers: Endgame,181
Toy Story,81
Coco,105
Amadeus,160
Inglourious Basterds,153
Joker,122
Old Boy,120
Spider-Man: New Generation,117
Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,95
The Dark Knight Rises,164
Aliens : Le Retour,137
American Beauty,122
Témoin à charge,116
Le dictateur,125
La vie des autres,137
Shining,146
Les sentiers de la gloire,88
Boulevard du Crépuscule,110
Avengers: Infinity War,149
WALL·E,98
Django Unchained,165
Les Aventuriers de l'arche perdue,115
Gladiator,155
Léon,110
Memento,113
Parasite,132
Les infiltrés,151
American History X,119
Le Roi Lion,88
Le voyage de Chihiro,125
Le pianiste,150
Retour vers le futur,116
Psychose,109
Interstellar,169
La vie est belle,116
La ligne verte,189
Terminator 2 : Le jugement dernier,137
La guerre des étoiles,121
La vie est belle,130
Seven,127
La cité de Dieu,130
Le Silence des agneaux,118
Les 7 Samouraïs,207
Vol au-dessus d'un nid de coucou,133
L'Empire contre-attaque,124
Il faut sauver le soldat Ryan,169
Les affranchis,145
Forrest Gump,142
Matrix,136
Le Seigneur des anneaux : La Communauté de l'anneau,178
Fight Club,139
Inception,148
Pulp Fiction,154
"Le Bon, la brute, le truand",161
La liste de Schindler,195
Le Seigneur des anneaux : Les Deux Tours,179
Le Parrain,175
12 Hommes en colère,96
"Le Parrain, 2ᵉ partie",202
Le Seigneur des anneaux : Le Retour du roi,201
The Dark Knight : Le Chevalier noir,152
